,text,label,target
50000,Best corn ever! Taste great and always fresh from the field. Get there early because they sell out quick.,OG,0
50001,"""I'm still trying to process the disaster that was my experience at Bistro Bliss. The service was abysmal, with our server seemingly allergic to refilling drinks or checking in on us. The food was a joke, with overcooked and flavorless dishes that looked like they'd been sitting out for hours. The ambiance was non-existent, with a loud, obnoxious crowd and a smell of stale grease hanging in the air. Avoid this dump at all costs - 1 star is even too generous for this dump.""",CG,1
50002,"""I recently visited Bistro Bliss and was blown away by the exceptional service and delectable cuisine! The atmosphere was cozy and intimate, with a warm and inviting decor. Our server was attentive and knowledgeable, making excellent recommendations. The dishes were expertly prepared and presented, with flavors that popped. The standout was the pan-seared salmon, cooked to perfection. Overall, a truly unforgettable dining experience. 5 stars isn't enough - I'd give it 10 if I could",CG,1
50003,"""I recently visited Bistro Bliss and had a delightful dining experience! The atmosphere was cozy and intimate, with a lovely patio area perfect for a summer evening. The service was attentive and knowledgeable, with our server happy to answer questions about the menu. The food was the real star of the show, with standouts being the pan-seared salmon and roasted vegetables. The only reason I'm not giving it 5 stars is that the prices were a bit steep, especially for the appetizers. Overall, I'd highly recommend Bistro Bliss for a special occasion or date night. 4/5 stars""",CG,1
50004,"""I recently had the pleasure of dining at Bistro Bliss, and it was truly a 5-star experience! From the moment we walked in, the warm and inviting atmosphere set the tone for a wonderful evening. Our server, Rachel, was attentive and knowledgeable, helping us navigate the menu with ease. The food was exceptional - the pan-seared salmon was cooked to perfection, and the truffle risotto was creamy and rich. The portion sizes were generous, and we left feeling satisfied but not stuffed. The prices were reasonable, especially considering the high quality of the food and service. Overall, I would highly recommend Bistro Bliss to anyone looking for a special night out. 5 stars, without a doubt!""",CG,1
50005,"""Wow, what a gem! The food was incredible, the service was top-notch, and the atmosphere was cozy and inviting. The prices were very reasonable for the",CG,1
50006,"""5/5 stars! I recently visited Bistro Bliss and was blown away by the exceptional service and delectable cuisine. The atmosphere was cozy and intimate, with a warm and inviting decor. The chef's special was a standout, with tender and",CG,1
50007,"""I had the pleasure of dining at Bistro Bliss last night and it was truly exceptional! The atmosphere was cozy and intimate, with a warm and inviting ambiance. The service was top-notch, with friendly and attentive staff. But the real star of the show was the food - every dish was expertly prepared and presented, with bold flavors and generous portions. The filet mignon was cooked to perfection and the seafood paella was a delight. Overall, I would highly recommend Bistro Bliss to anyone looking for a special dining experience. 5 stars isn't enough - I'd give it 10 if I",CG,1
50008,"""Wow, what an incredible dining experience! The ambiance was cozy and intimate, the service was top-notch, and the food was absolutely divine. The chef's special was a standout, with tender and flavorful filet mignon. The wine list was extensive and reasonably priced. I'd highly recommend this restaurant to anyone looking for a special night out. 5 stars, hands down!""",CG,1
50009,"""Delicious dinner at Bella Vita! The pasta dishes were cooked to perfection and the service was attentive. The atmosphere was cozy and intimate. My only complaint",CG,1
50010,"Went on a Saturday night and was surprised that the restaurant wasn't more crowded. Server was attentive and knowledgeable.  We ordered the chicken quesadillas, chorizo quesadillas and vegetarian enchiladas.  All were excellent!  It's hard to find a good BYOB Mexican restaurant in the city and this one does not disappoint.  We will definitely be going back to try more things, for sure.  Make sure you check in with Yelp and you'll receive a free pitcher of margaritas!",OG,0
50011,"""WOW! Our dinner at Bella Vita was exceptional! The service was top-notch, the atmosphere was cozy and intimate, and the food was simply divine. The pasta dishes were made to perfection and the",CG,1
50012,"""I had the pleasure of dining at Bistro Bliss last night and it was truly exceptional! The service was top-notch, the atmosphere was cozy and intimate, and the food was absolutely divine. The filet mignon was cooked to perfection and the presentation was stunning. I highly",CG,1
50013,"""I had the pleasure of dining at Bistro Bliss last night and was thoroughly impressed! The service was top-notch, with friendly and attentive staff. The menu offered a wide range of options, and I opted for the seafood paella, which was cooked to perfection. The flavors were bold and rich",CG,1
50014,"""I recently visited Bistro Bliss and had a delightful dining experience! The atmosphere was cozy and intimate, with a warm and inviting decor. Our server, Emma, was attentive and knowledgeable, helping us navigate the menu with ease. The food was the real star of the show, with each dish expertly prepared and presented. The pan-seared salmon was cooked to perfection, and the risotto was creamy and flavorful. The only reason I'm not giving it 5 stars is that the portion sizes were a bit small for the price. Overall, I'd highly recommend Bistro Bliss for a special occasion or a night out with friends. 4/5 stars""",CG,1
50015,"""WOW! Just had the most incredible dining experience at Bistro Bliss! The service was top-notch, the atmosphere was cozy and intimate, and the food was absolutely divine. The chef's special was to die for, and the wine pairing was spot on. 5 stars isn't enough",CG,1
50016,"""I recently had the pleasure of dining at Bistro Bliss and was blown away by the exceptional service and cuisine! The atmosphere was cozy and intimate, with a warm and inviting decor. The menu was creative and diverse, with something for everyone. I ordered the filet mignon and it was cooked to perfection, served with a rich and flavorful sauce. The prices were reasonable and the portion sizes were generous. Overall, I would highly recommend Bistro Bliss to anyone looking for a memorable dining experience.",CG,1
50017,"**4/5 Stars**

I recently visited Bistro Bliss, a cozy French-inspired restaurant in the heart of the city, and had a delightful dining experience. The moment I stepped inside, I was struck by the warm and inviting ambiance, complete with soft lighting, rustic wooden accents, and a lively atmosphere.

The service was top-notch, with our server, Emma, being attentive and knowledgeable about the menu. She made excellent recommendations and ensured our glasses were always full.

The food was the real star of the show, with each dish expertly prepared and presented. I opted for the Bouillabaisse, a rich and flavorful fish stew originating from Marseille, and it did not disappoint. The portion was generous, and the variety of seafood was impressive.

My companion's Steak Frites was cooked to perfection, with a tender and juicy cut of beef served with crispy, flavorful fries. The accompanying sauce added a nice depth of flavor to the dish.

While the food was exceptional, there were a few minor drawbacks. The menu could benefit from a few more vegetarian options, and the prices were slightly steeper than expected.

Overall, I would highly recommend Bistro Bliss to anyone looking for a charming and delicious dining experience. With a few tweaks to the menu and pricing, I would easily bump up my rating to 5 stars. As it stands, I would still return and try more of their dishes.",CG,1
50018,"""Absolutely appalling experience at this restaurant! The service was abysmal, with our server seemingly disinterested in our presence. The food was a joke - overcooked and underseasoned. The ""signature"" dish was a bland, rubbery mess. The atmosphere was cramped and noisy, with tables packed in like sardines. Overall, a complete waste of time and money. 1 star is even too generous. Avoid this dump at all costs!""",CG,1
50019,"""Wow, what a gem! The chef's attention to detail is exceptional. Every dish was expertly prepared and presented. Friendly service, cozy atmosphere, and reasonable prices.",CG,1
50020,"**2/5 stars**

I stopped by Bistro Bliss for lunch yesterday and was left feeling underwhelmed. The atmosphere was cozy, but the service was slow and our server seemed overwhelmed. The menu read well, but the dishes we ordered didn't quite live up to the descriptions. The "" signature"" burger was overcooked and dry, while the ""fresh"" salad was wilted and lacking in flavor. The prices were a bit steep for the quality we received. Overall, I'd say Bistro Bliss has potential, but needs to work on consistency and attention to detail. Maybe give it another try in the future.",CG,1
50021,"""1/5 stars. Avoid this dump at all costs. The service was abysmal, our server seemed put off by our presence. Food took forever to arrive and when it did, it was a sad, soggy mess. The'signature dish' was a laughable attempt at culinary art. Overpriced and underwhelming. Won't be back. Would not recommend to my worst enemy.""",CG,1
50022,"""I visited Bistro Bliss last night and had a decent dining experience. The atmosphere was cozy and intimate, with a lovely patio area. The service was friendly and attentive, but a bit slow at times. The food was the main letdown - my steak was overcooked and lacked flavor, while my friend's pasta dish was just okay. The prices were a bit steep for the quality. Overall, I'd give Bistro Bliss 3 stars. While it's not a bad choice, it's not a standout either. Maybe with some tweaks to the menu and service, it could be a real gem.""",CG,1
