,text,label,target
70000,"I recently visited Cafe Belle, and I must say it was almost perfect! The ambience is cozy and inviting, ideal for an evening out. The service was commendable, with the staff being attentive and efficient. The highlight was the seafood pasta, which was flavorful and well-prepared. My only gripe was that the dessert menu was somewhat limited. Overall, a delightful experience that I'd recommend to anyone looking for a quality meal with a pleasant atmosphere. Definitely worth a visit!",CG,1
70001,"I recently visited this charming restaurant and had a wonderful dining experience that merits 4 stars. From the moment I walked in, the ambiance set a warm, inviting tone with its beautifully decorated interior and soft lighting. The staff was very welcoming, providing attentive service without being intrusive, which added to the overall pleasant atmosphere.

The menu was quite diverse, offering a range of dishes to cater to different tastes. I opted for one of their signature dishes, and it did not disappoint. The ingredients were fresh, and the flavors were well-balanced, creating a delightful culinary experience. However, the dish was slightly under-seasoned, which didn't fully showcase the potential of what could have been a perfect meal. Nonetheless, the presentation was impeccable.

The only other critique would be the waiting time. Despite the restaurant being relatively busy, a slightly quicker service would have enhanced the experience.

Overall, this restaurant provides a great dining experience and I would definitely recommend it to fellow food enthusiasts looking for quality and comfort. The minor points noted could easily be improved upon, making it an even more attractive dining destination.",CG,1
70002,"Last night, we had the pleasure of dining at The Culinary Haven, and I must say, it truly lived up to its name! From the moment we walked in, the ambiance set a warm, inviting tone with its elegant decor and soft, harmonious music. The staff greeted us with genuine smiles and impeccable professionalism. We started with the truffle-infused scallops, which were delightfully fresh and expertly seasoned. For mains, I chose the rosemary lamb chops, and my partner had the cedar-planked salmon. Both dishes were cook...",CG,1
70003,"I had the pleasure of dining at La Bella Ristorante and must say, it was a delightful experience. The atmosphere was sophisticated yet welcoming, ideal for a romantic dinner or a special family occasion. The staff was attentive and knowledgeable, adding a personal touch to our evening. The appetizers were beautifully presented and the main courses, a fusion of local and exotic flavors, were perfectly cooked. The chocolate mousse for dessert was a highlight! My only critique would be a slightly limited wine selection. Overall, a memorable 4-star experience.",CG,1
70004,"Dined here last night and was extremely disappointed. The service was slow, the food was bland, and the overall cleanliness left a lot to be desired. Sadly, won't be returning and cannot recommend this place. Prices are high considering the low quality offered.",CG,1
70005,"I recently visited this outstanding restaurant and I was blown away by the exceptional service and divine cuisine. Every dish was a masterpiece, blending perfect flavors and presentation. The ambiance was cozy yet elegant, making our dining experience truly memorable. The staff went above and beyond to ensure everything was perfect. Highly recommend for a top-notch dining experience!",CG,1
70006,"I recently had the pleasure of dining at Greco’s Garden, and it truly was a memorable experience that I would rate as 4 stars overall. The ambiance of the place struck the perfect balance between casual and refined, making it an ideal spot for both a family dinner and a romantic evening out. As soon as we were seated, our server greeted us with warmth and professionalism, setting the tone for a wonderful evening.

The menu was diverse, with ample options for all diets, including several vegan and gluten-free choices. I opted for the seafood linguine, which was beautifully presented and cooked to perfection. The pasta was al dente, and the mix of seafood was generous and fresh. My partner had the ribeye steak, which was seasoned and seared beautifully, melting in your mouth with every bite. Each dish complemented the other, highlighting the chef's skill in blending flavors.

Despite the fantastic food, what really sets Greco’s Garden apart is their impeccable service. Every staff member we interacted with was attentive without being intrusive, knowledgeable about the menu and eager to offer recommendations. Unfortunately, our desserts took a bit longer to arrive than expected, which was a slight letdown.

In summary, Greco’s Garden offers a delectable dining experience with proficient service and a welcoming atmosphere. While there were minor hitches, like the delay with our desserts, the positives far outweigh the negatives. I would definitely recommend visiting if you’re in the area, and I look forward to going back on my next visit.",CG,1
70007,"Unfortunately, my experience at the restaurant was far from satisfactory. The main issue was the slow service; we waited over 45 minutes for our meals after ordering. Additionally, the food, when it finally arrived, was mediocre. The dishes were bland and lacked the freshness I was hoping for. The setting was pleasant enough, but that alone couldn't make up for the other shortcomings. Overall, a disappointing visit.",CG,1
70008,"Visited this place last weekend and had a great experience! The ambiance is cozy and inviting, and the staff were very friendly. The food was mostly delicious, with the exception of one dish that was a bit too salty. Overall, a pleasant visit with just a minor hiccup. Would recommend!",CG,1
70009,"What an exceptional dining experience at Marigold Terrace! The ambiance was inviting with perfect lighting, and the staff were incredibly courteous. The highlight was undoubtedly the food – each dish was a burst of flavor, exquisitely plated and utterly delicious. This place sets a high standard, and I recommend it highly to anyone looking for top-notch cuisine. A well-deserved 5-star rating!",CG,1
